Dataset	"MC1,MN2[GeV]"	MN1[GeV]	"mWWT,metrel"	mT2

176574	130	0	6.396	1.431
176575	140	10	4.473	1.001
176576	150	0	3.980	0.891
176577	152.5	22.5	3.517	0.787
176578	162.5	12.5	2.454	0.549
176579	175	0	1.802	0.403
176580	165	35	2.030	0.454
176581	175	25	1.919	0.430
176582	187.5	12.5	1.445	0.323
176583	200	0	1.366	0.306
176584	177.5	47.5	2.812	0.784
176585	187.5	37.5	0.000	0.000
176586	200	25	2.320	0.647
176587	212.5	12.5	1.634	0.456
176588	225	0	1.851	0.626
176589	190	60	1.789	0.499
176590	200	50	1.869	0.521
176591	212.5	37.5	1.655	0.462
176592	225	25	1.239	0.346
176593	237.5	12.5	1.558	0.527
176594	250	0	1.259	0.426
176595	202.5	72.5	1.371	0.382
176596	212.5	62.5	1.505	0.420
176597	225	50	1.461	0.407
176598	237.5	37.5	0.921	0.257
176599	250	25	1.243	0.421
176600	262.5	12.5	1.093	0.370
176601	275	0	0.988	0.334
176602	215	85	1.406	0.575
176603	225	75	1.255	0.513
176604	237.5	62.5	1.192	0.488
176605	250	50	0.667	0.273
176606	262.5	37.5	1.310	0.545
176607	275	25	1.134	0.471
176608	287.5	12.5	1.079	0.449
176609	300	0	0.808	0.409
176610	227.5	97.5	1.375	0.562
176611	237.5	87.5	0.876	0.358
176612	250	75	0.938	0.384
176613	262.5	62.5	0.740	0.303
176614	275	50	0.000	0.000
176615	287.5	37.5	0.964	0.401
176616	300	25	0.745	0.310
176617	312.5	12.5	0.755	0.382
176618	325	0	0.593	0.300
176619	240	110	0.682	0.279
176620	250	100	0.770	0.315
176621	262.5	87.5	0.762	0.311
176622	275	75	0.563	0.230
176623	287.5	62.5	0.798	0.332
176624	300	50	0.862	0.358
176625	312.5	37.5	0.652	0.271
176626	325	25	0.676	0.342
176627	337.5	12.5	0.485	0.245
176628	350	0	0.414	0.210
176629	265	135	0.811	0.332
176630	275	125	0.667	0.273
176631	287.5	112.5	0.763	0.313
176632	300	100	0.538	0.221
176633	312.5	87.5	0.473	0.194
176634	325	75	0.399	0.164
176635	337.5	62.5	0.491	0.208
176636	350	50	0.468	0.198
176637	300	150	0.593	0.251
176638	350	100	0.451	0.191
176639	350	150	0.529	0.224
176640	350	200	0.351	0.149
