Dataset	"MC1,MN2[GeV]"	MN1[GeV]	mWWT>140	mWWT+metrel
				
176574	130	0	17.740	11.820
176575	140	10	16.139	10.754
176576	150	0	14.356	9.566
176577	152.5	22.5	11.318	7.541
176578	162.5	12.5	9.399	6.263
176579	175	0	7.656	5.101
176580	165	35	9.590	6.390
176581	175	25	7.282	4.852
176582	187.5	12.5	5.835	3.888
176583	200	0	3.858	2.571
176584	177.5	47.5	8.618	6.001
176585	187.5	37.5	0.000	0.000
176586	200	25	6.311	4.394
176587	212.5	12.5	4.905	3.416
176588	225	0	5.399	4.114
176589	190	60	7.071	4.923
176590	200	50	4.988	3.473
176591	212.5	37.5	4.824	3.359
176592	225	25	3.915	2.726
176593	237.5	12.5	4.599	3.505
176594	250	0	3.635	2.770
176595	202.5	72.5	5.082	3.538
176596	212.5	62.5	5.719	3.982
176597	225	50	4.295	2.990
176598	237.5	37.5	3.300	2.298
176599	250	25	3.620	2.758
176600	262.5	12.5	2.908	2.216
176601	275	0	2.305	1.756
176602	215	85	5.002	3.463
176603	225	75	4.068	2.816
176604	237.5	62.5	3.704	2.564
176605	250	50	3.044	2.107
176606	262.5	37.5	3.729	3.111
176607	275	25	2.632	2.196
176608	287.5	12.5	2.768	2.310
176609	300	0	2.266	1.890
176610	227.5	97.5	3.697	2.560
176611	237.5	87.5	3.542	2.452
176612	250	75	2.766	1.915
176613	262.5	62.5	2.492	1.726
176614	275	50	0.000	0.000
176615	287.5	37.5	2.511	2.095
176616	300	25	2.135	1.781
176617	312.5	12.5	1.728	1.442
176618	325	0	1.445	1.205
176619	240	110	3.365	2.330
176620	250	100	2.799	1.938
176621	262.5	87.5	2.346	1.624
176622	275	75	2.123	1.470
176623	287.5	62.5	2.432	2.029
176624	300	50	2.043	1.704
176625	312.5	37.5	1.892	1.579
176626	325	25	1.409	1.176
176627	337.5	12.5	1.352	1.128
176628	350	0	1.271	1.060
176629	265	135	2.958	2.113
176630	275	125	2.549	1.821
176631	287.5	112.5	1.973	1.409
176632	300	100	1.565	1.118
176633	312.5	87.5	1.171	0.837
176634	325	75	1.128	0.806
176635	337.5	62.5	1.152	0.953
176636	350	50	0.782	0.647
176637	300	150	1.611	1.333
176638	350	100	0.934	0.773
176639	350	150	0.779	0.645
176640	350	200	0.818	0.677
