Dataset	"MC1,MN2[GeV]"	MN1[GeV]	mWWT>100	mWWT>150	mWWT>200	mWWT>200+metrel>50
						
176574	130	0	24.420	11.710	4.043	2.775
176575	140	10	17.949	8.607	2.972	2.040
176576	150	0	14.321	6.867	2.371	1.628
176577	152.5	22.5	15.324	7.348	2.537	1.742
176578	162.5	12.5	9.799	4.699	1.622	1.114
176579	175	0	7.209	3.457	1.194	0.819
176580	165	35	11.440	5.485	1.894	1.300
176581	175	25	8.238	3.950	1.364	0.936
176582	187.5	12.5	6.548	3.140	1.084	0.744
176583	200	0	4.947	2.372	0.819	0.562
176584	177.5	47.5	9.288	5.492	2.409	1.885
176585	187.5	37.5	0.000	0.000	0.000	0.000
176586	200	25	5.884	3.479	1.526	1.194
176587	212.5	12.5	4.347	2.570	1.127	0.882
176588	225	0	4.632	3.219	1.847	1.454
176589	190	60	6.816	4.030	1.768	1.384
176590	200	50	6.120	3.618	1.587	1.242
176591	212.5	37.5	4.556	2.694	1.182	0.925
176592	225	25	4.214	2.492	1.093	0.855
176593	237.5	12.5	3.997	2.777	1.594	1.255
176594	250	0	2.586	1.797	1.031	0.812
176595	202.5	72.5	5.498	3.251	1.426	1.116
176596	212.5	62.5	4.445	2.628	1.153	0.902
176597	225	50	3.323	1.965	0.862	0.675
176598	237.5	37.5	2.882	1.704	0.747	0.585
176599	250	25	3.323	2.310	1.325	1.044
176600	262.5	12.5	2.377	1.652	0.948	0.747
176601	275	0	2.671	1.856	1.065	0.839
176602	215	85	5.113	3.168	1.585	1.139
176603	225	75	4.185	2.593	1.297	0.932
176604	237.5	62.5	3.118	1.932	0.966	0.695
176605	250	50	2.679	1.660	0.830	0.597
176606	262.5	37.5	2.676	2.046	1.270	1.062
176607	275	25	2.504	1.915	1.189	0.994
176608	287.5	12.5	1.892	1.446	0.898	0.750
176609	300	0	1.567	1.254	0.868	0.749
176610	227.5	97.5	3.673	2.276	1.138	0.818
176611	237.5	87.5	3.480	2.156	1.078	0.775
176612	250	75	2.514	1.557	0.779	0.560
176613	262.5	62.5	1.992	1.234	0.617	0.444
176614	275	50	0.000	0.000	0.000	0.000
176615	287.5	37.5	1.877	1.435	0.891	0.745
176616	300	25	1.346	1.029	0.639	0.534
176617	312.5	12.5	1.500	1.200	0.831	0.717
176618	325	0	1.211	0.969	0.671	0.578
176619	240	110	3.066	1.899	0.950	0.683
176620	250	100	2.733	1.693	0.847	0.609
176621	262.5	87.5	2.147	1.330	0.665	0.478
176622	275	75	1.716	1.063	0.532	0.382
176623	287.5	62.5	1.674	1.280	0.795	0.664
176624	300	50	1.406	1.075	0.668	0.558
176625	312.5	37.5	1.179	0.901	0.560	0.468
176626	325	25	1.027	0.822	0.569	0.491
176627	337.5	12.5	0.872	0.698	0.483	0.417
176628	350	0	1.155	0.924	0.640	0.552
176629	265	135	2.176	1.422	0.666	0.561
176630	275	125	2.142	1.400	0.655	0.552
176631	287.5	112.5	1.724	1.127	0.527	0.444
176632	300	100	1.167	0.763	0.357	0.301
176633	312.5	87.5	1.155	0.755	0.353	0.298
176634	325	75	0.716	0.468	0.219	0.185
176635	337.5	62.5	0.791	0.579	0.334	0.288
176636	350	50	0.685	0.501	0.289	0.250
176637	300	150	1.347	0.985	0.569	0.491
176638	350	100	0.564	0.412	0.238	0.206
176639	350	150	0.808	0.590	0.341	0.294
176640	350	200	0.867	0.634	0.366	0.316
